q,failures,overlap,fps
0.1,48.0,0.4812987826049756,151.9145229079921
0.2,47.0,0.49582633339598553,151.32591760095295
0.3,45.0,0.4922714085266798,156.10489326681983
0.4,48.0,0.49464019508020235,155.23723700572086
0.5,45.0,0.4908563805155169,160.16583868415964
0.6,44.0,0.4988674673208542,159.41374190975426
0.7,51.0,0.49505222633242724,152.75518982210704
0.8,51.0,0.4917032593242802,152.46613713348722
0.9,48.0,0.49304578025280743,154.62298184581635
1.0,45.0,0.49996641983687573,154.90971667061174
1.1,45.0,0.4918530339820553,154.70667763174785
1.2,46.0,0.49405229254550426,154.72909576971526
1.3,48,0.49122266574701157,159.47659915412115
1.4,49.0,0.5008498024278522,155.7577014344053
1.5,54.0,0.4940801064154462,147.25581691832792
1.6,48.0,0.493776750383495,148.9498870394221
1.7,48.0,0.4953680796762851,153.0757613225461
1.8,49.0,0.4991473654518563,151.94878455516044
1.9,49.0,0.49865083537835353,152.7866127837372
2.0,47.0,0.49300675652253856,156.23807487911287
